"id";"id_cliente";"id_tipo_servico";"valor";"valor_fornecedor"
"35";"307";"6";"160,00";"30,00"
"36";"307";"7";"99,00";"15,00"
"37";"307";"8";"120,00";"35,00"
"38";"307";"10";"25,00";"10,00"
"39";"307";"11";"899,00";"30,00"
"40";"307";"12";"190,00";"30,00"
"41";"307";"13";"390,00";"35,00"
"42";"307";"14";"390,00";"30,00"
"43";"307";"15";"590,00";"67,00"
"44";"307";"16";"390,00";"45,00"
"45";"307";"17";"200,00";"0,00"
"46";"307";"18";"60,00";"0,00"
"59";"326";"6";"95,00";"30,00"
"60";"326";"7";"99,00";"15,00"
"61";"326";"8";"190,00";"35,00"
"62";"326";"10";"15,00";"10,00"
"63";"326";"11";"199,00";"30,00"
"64";"326";"12";"200,00";"30,00"
"65";"326";"13";"250,00";"35,00"
"66";"326";"14";"250,00";"30,00"
"67";"326";"15";"590,00";"67,00"
"68";"326";"16";"390,00";"45,00"
"69";"326";"17";"200,00";"0,00"
"70";"326";"18";"40,00";"0,00"
"71";"444";"6";"160,00";"30,00"
"72";"444";"7";"99,00";"15,00"
"73";"444";"8";"190,00";"35,00"
"74";"444";"9";"40,00";"40,00"
"75";"444";"10";"15,00";"10,00"
"76";"444";"11";"199,00";"30,00"
"77";"444";"12";"190,00";"30,00"
"78";"444";"13";"390,00";"35,00"
"79";"444";"14";"390,00";"30,00"
"80";"444";"15";"590,00";"67,00"
"81";"444";"16";"390,00";"45,00"
"82";"444";"17";"200,00";"0,00"
"177";"307";"9";"40,00";"40,00"
"178";"307";"19";"160,00";"30,00"
"179";"307";"20";"30,00";"0,00"
"292";"157";"6";"95,00";"30,00"
"293";"157";"7";"59,00";"15,00"
"294";"157";"8";"160,00";"35,00"
"295";"157";"9";"40,00";"40,00"
"296";"157";"10";"15,00";"15,00"
"297";"157";"11";"129,00";"60,00"
"298";"157";"12";"190,00";"30,00"
"299";"157";"13";"290,00";"35,00"
"300";"157";"14";"350,00";"30,00"
"301";"157";"15";"450,00";"67,00"
"302";"157";"16";"290,00";"35,00"
"303";"157";"17";"200,00";"0,00"
"304";"157";"19";"95,00";"30,00"
"305";"157";"20";"30,00";"0,00"
"306";"157";"21";"47,50";"15,00"
"307";"157";"22";"95,00";"30,00"
"436";"85";"6";"160,00";\N
"437";"85";"7";"99,00";\N
"438";"85";"8";"190,00";\N
"439";"85";"9";"40,00";\N
"440";"85";"10";"15,00";\N
"441";"85";"11";"129,00";\N
"442";"85";"12";"250,00";\N
"443";"85";"13";"390,00";\N
"444";"85";"14";"390,00";\N
"445";"85";"15";"590,00";\N
"446";"85";"16";"390,00";\N
"447";"85";"17";"200,00";\N
"448";"85";"19";"160,00";\N
"449";"85";"20";"30,00";\N
"450";"85";"21";"80,00";\N
"451";"85";"22";"160,00";\N
"452";"174";"6";"160,00";\N
"453";"174";"7";"99,00";\N
"454";"174";"8";"190,00";\N
"455";"174";"9";"40,00";\N
"456";"174";"10";"15,00";\N
"457";"174";"11";"129,00";\N
"458";"174";"12";"250,00";\N
"459";"174";"13";"390,00";\N
"460";"174";"14";"390,00";\N
"461";"174";"15";"590,00";\N
"462";"174";"16";"390,00";\N
"463";"174";"17";"200,00";\N
"464";"174";"19";"160,00";\N
"465";"174";"20";"30,00";\N
"466";"174";"21";"80,00";\N
"467";"174";"22";"160,00";\N
"468";"212";"6";"160,00";\N
"469";"212";"7";"99,00";\N
"470";"212";"8";"190,00";\N
"471";"212";"9";"40,00";\N
"472";"212";"10";"15,00";\N
"473";"212";"11";"129,00";\N
"474";"212";"12";"250,00";\N
"475";"212";"13";"390,00";\N
"476";"212";"14";"390,00";\N
"477";"212";"15";"590,00";\N
"478";"212";"16";"390,00";\N
"479";"212";"17";"200,00";\N
"480";"212";"19";"160,00";\N
"481";"212";"20";"30,00";\N
"482";"212";"21";"80,00";\N
"483";"212";"22";"160,00";\N
"484";"228";"6";"160,00";\N
"485";"228";"7";"99,00";\N
"486";"228";"8";"190,00";\N
"487";"228";"9";"40,00";\N
"488";"228";"10";"15,00";\N
"489";"228";"11";"129,00";\N
"490";"228";"12";"250,00";\N
"491";"228";"13";"390,00";\N
"492";"228";"14";"390,00";\N
"493";"228";"15";"590,00";\N
"494";"228";"16";"390,00";\N
"495";"228";"17";"200,00";\N
"496";"228";"19";"160,00";\N
"497";"228";"20";"30,00";\N
"498";"228";"21";"80,00";\N
"499";"228";"22";"160,00";\N
"500";"433";"6";"160,00";\N
"501";"433";"7";"99,00";\N
"502";"433";"8";"190,00";\N
"503";"433";"9";"40,00";\N
"504";"433";"10";"15,00";\N
"505";"433";"11";"129,00";\N
"506";"433";"12";"250,00";\N
"507";"433";"13";"390,00";\N
"508";"433";"14";"390,00";\N
"509";"433";"15";"590,00";\N
"510";"433";"16";"390,00";\N
"511";"433";"17";"200,00";\N
"512";"433";"19";"160,00";\N
"513";"433";"20";"30,00";\N
"514";"433";"21";"80,00";\N
"515";"433";"22";"160,00";\N
"516";"483";"6";"160,00";\N
"517";"483";"7";"99,00";\N
"518";"483";"8";"190,00";\N
"519";"483";"9";"40,00";\N
"520";"483";"10";"15,00";\N
"521";"483";"11";"129,00";\N
"522";"483";"12";"250,00";\N
"523";"483";"13";"390,00";\N
"524";"483";"14";"390,00";\N
"525";"483";"15";"590,00";\N
"526";"483";"16";"390,00";\N
"527";"483";"17";"200,00";\N
"528";"483";"19";"160,00";\N
"529";"483";"20";"30,00";\N
"530";"483";"21";"80,00";\N
"531";"483";"22";"160,00";\N
"532";"506";"6";"160,00";\N
"533";"506";"7";"99,00";\N
"534";"506";"8";"190,00";\N
"535";"506";"9";"40,00";\N
"536";"506";"10";"15,00";\N
"537";"506";"11";"129,00";\N
"538";"506";"12";"250,00";\N
"539";"506";"13";"390,00";\N
"540";"506";"14";"390,00";\N
"541";"506";"15";"590,00";\N
"542";"506";"16";"390,00";\N
"543";"506";"17";"200,00";\N
"544";"506";"19";"160,00";\N
"545";"506";"20";"30,00";\N
"546";"506";"21";"80,00";\N
"547";"506";"22";"160,00";\N
"548";"592";"6";"160,00";\N
"549";"592";"7";"99,00";\N
"550";"592";"8";"190,00";\N
"551";"592";"9";"40,00";\N
"552";"592";"10";"15,00";\N
"553";"592";"11";"129,00";\N
"554";"592";"12";"250,00";\N
"555";"592";"13";"390,00";\N
"556";"592";"14";"390,00";\N
"557";"592";"15";"590,00";\N
"558";"592";"16";"390,00";\N
"559";"592";"17";"200,00";\N
"560";"592";"19";"160,00";\N
"561";"592";"20";"30,00";\N
"562";"592";"21";"80,00";\N
"563";"592";"22";"160,00";\N
"564";"595";"6";"160,00";\N
"565";"595";"7";"99,00";\N
"566";"595";"8";"190,00";\N
"567";"595";"9";"40,00";\N
"568";"595";"10";"15,00";\N
"569";"595";"11";"129,00";\N
"570";"595";"12";"250,00";\N
"571";"595";"13";"390,00";\N
"572";"595";"14";"390,00";\N
"573";"595";"15";"590,00";\N
"574";"595";"16";"390,00";\N
"575";"595";"17";"200,00";\N
"576";"595";"19";"160,00";\N
"577";"595";"20";"30,00";\N
"578";"595";"21";"80,00";\N
"579";"595";"22";"160,00";\N
"580";"634";"6";"160,00";\N
"581";"634";"7";"99,00";\N
"582";"634";"8";"190,00";\N
"583";"634";"9";"40,00";\N
"584";"634";"10";"15,00";\N
"585";"634";"11";"129,00";\N
"586";"634";"12";"250,00";\N
"587";"634";"13";"390,00";\N
