"id";"id_servico";"id_tipo_servico";"id_status";"quantidade";"valor";"valor_fornecedor";"excluido";"data_atualizacao"
"9";"6";"6";"2";"1";"80,00";"30,00";\N;\N
"14";"10";"6";"2";"1";"80,00";"30,00";\N;\N
"16";"12";"22";"2";"1";"0,00";"0,00";\N;\N
"19";"14";"6";"2";"1";"80,00";"30,00";\N;\N
"20";"15";"6";"2";"1";"80,00";"24,00";\N;\N
"21";"16";"6";"2";"1";"80,00";"27,00";\N;\N
"25";"19";"6";"2";"1";"80,00";\N;\N;\N
"27";"21";"6";"2";"1";"80,00";"30,00";\N;\N
"30";"18";"6";"2";"1";"80,00";"30,00";\N;\N
"31";"18";"16";"2";"1";"250,00";"35,00";\N;\N
"32";"23";"6";"2";"1";"80,00";"30,00";\N;\N
"36";"26";"6";"2";"1";"80,00";"30,00";\N;\N
"37";"27";"6";"2";"1";"80,00";"27,00";\N;\N
"38";"27";"7";"2";"1";"59,00";"15,00";\N;\N
"40";"29";"6";"2";"1";"0,00";\N;\N;\N
"43";"31";"6";"2";"1";"80,00";"27,00";\N;\N
"46";"33";"6";"2";"1";"80,00";"30,00";\N;\N
"47";"34";"6";"2";"1";"80,00";"30,00";\N;"2023-04-01 00:35:55"
"48";"35";"6";"2";"1";"80,00";"30,00";\N;\N
"49";"36";"6";"2";"1";"80,00";"30,00";\N;"2023-04-01 00:37:45"
"50";"37";"6";"2";"1";"80,00";"24,00";\N;\N
"51";"37";"10";"2";"1";"15,00";"15,00";\N;\N
"53";"38";"6";"2";"1";"80,00";"30,00";\N;"2023-04-01 00:38:45"
"54";"39";"6";"2";"1";"80,00";"30,00";\N;\N
"55";"40";"6";"2";"1";"80,00";"30,00";\N;"2023-04-01 00:39:40"
"56";"41";"6";"2";"1";"80,00";"24,00";\N;\N
"57";"42";"6";"2";"1";"80,00";"30,00";\N;"2023-04-01 00:40:36"
"59";"3";"6";"2";"1";"0,00";\N;\N;\N
"60";"3";"7";"2";"1";"0,00";\N;\N;\N
"61";"44";"8";"2";"1";"120,00";"27,00";\N;\N
"64";"47";"6";"2";"1";"80,00";"30,00";\N;\N
"67";"50";"6";"2";"1";"80,00";"24,00";\N;\N
"68";"51";"6";"1";"1";"0,00";"0,00";\N;\N
"71";"46";"6";"2";"1";"0,00";\N;\N;\N
"75";"56";"6";"2";"1";"80,00";"27,00";\N;\N
"78";"59";"6";"2";"1";"80,00";"30,00";\N;\N
"79";"60";"6";"2";"1";"0,00";\N;\N;\N
"81";"62";"6";"2";"1";"0,00";\N;\N;\N
"82";"63";"6";"2";"1";"80,00";"24,00";\N;\N
"83";"63";"7";"2";"1";"59,00";"15,00";\N;\N
"84";"64";"6";"2";"1";"80,00";"24,00";\N;\N
"86";"66";"6";"2";"1";"80,00";"24,00";\N;\N
"87";"66";"7";"2";"1";"59,00";"15,00";\N;\N
"91";"70";"6";"2";"1";"80,00";"24,00";\N;"2023-03-31 23:14:09"
"93";"72";"6";"2";"1";"80,00";"30,00";\N;"2023-04-01 04:13:44"
"97";"76";"6";"1";"1";"0,00";"0,00";\N;\N
"98";"77";"6";"2";"1";"80,00";"24,00";\N;"2023-04-05 00:07:08"
"99";"54";"6";"2";"1";"0,00";\N;\N;\N
"100";"54";"14";"2";"1";"0,00";\N;\N;\N
"103";"79";"6";"2";"1";"0,00";\N;\N;\N
"104";"80";"6";"2";"1";"80,00";"27,00";\N;\N
"108";"81";"15";"2";"1";"0,00";\N;\N;\N
"111";"82";"22";"2";"1";"80,00";\N;\N;\N
"117";"83";"6";"2";"1";"80,00";"24,00";\N;\N
"118";"83";"12";"2";"1";"150,00";"24,00";\N;\N
"121";"84";"6";"2";"1";"0,00";\N;\N;\N
"122";"84";"7";"2";"1";"0,00";\N;\N;\N
"123";"85";"6";"2";"1";"80,00";"24,00";\N;\N
"124";"86";"6";"2";"1";"80,00";"24,00";\N;\N
"131";"90";"6";"1";"1";"0,00";\N;\N;\N
"132";"91";"6";"2";"1";"0,00";"0,00";\N;\N
"134";"92";"6";"2";"1";"80,00";"24,00";\N;\N
"135";"93";"6";"2";"1";"0,00";"0,00";\N;\N
"136";"94";"6";"2";"1";"80,00";"24,00";\N;\N
"137";"95";"6";"2";"1";"0,00";"0,00";\N;\N
"141";"97";"6";"2";"1";"0,00";\N;\N;\N
"142";"99";"6";"2";"1";"80,00";"24,00";\N;\N
"143";"99";"7";"2";"1";"59,00";"15,00";\N;\N
"144";"100";"6";"2";"1";"0,00";\N;\N;\N
"149";"104";"6";"2";"1";"0,00";\N;\N;\N
"150";"105";"6";"2";"1";"80,00";"24,00";\N;\N
"151";"106";"6";"2";"1";"0,00";\N;\N;\N
"152";"107";"6";"2";"1";"0,00";\N;\N;\N
"154";"109";"6";"2";"1";"0,00";\N;\N;\N
"155";"110";"6";"2";"1";"80,00";"30,00";\N;\N
"158";"113";"6";"2";"1";"80,00";\N;\N;\N
"160";"115";"6";"2";"1";"80,00";"24,00";\N;"2023-04-05 17:46:05"
"161";"115";"7";"2";"1";"59,00";"15,00";\N;"2023-04-05 17:46:05"
"164";"117";"6";"2";"1";"80,00";"27,00";\N;"2023-04-03 17:59:47"
"165";"117";"7";"2";"1";"59,00";"15,00";\N;"2023-04-03 17:59:47"
"171";"122";"6";"1";"1";"0,00";"0,00";\N;\N
"172";"123";"6";"2";"1";"80,00";"27,00";\N;"2023-04-03 18:00:09"
"179";"128";"15";"2";"1";"390,00";"67,00";\N;\N
"183";"132";"6";"1";"1";"0,00";\N;\N;\N
"185";"133";"15";"2";"1";"390,00";"67,00";\N;\N
"191";"137";"6";"2";"1";"0,00";\N;\N;\N
"192";"137";"7";"2";"1";"0,00";\N;\N;\N
"193";"138";"6";"2";"1";"80,00";"30,00";\N;\N
"205";"146";"6";"2";"1";"80,00";"30,00";\N;\N
"207";"148";"6";"2";"1";"80,00";"30,00";\N;\N
"209";"149";"6";"2";"1";"0,00";\N;\N;\N
"210";"150";"6";"2";"1";"80,00";"30,00";\N;\N
"211";"151";"6";"2";"1";"80,00";"27,00";\N;\N
"219";"157";"6";"2";"1";"80,00";"30,00";\N;"2023-04-03 18:01:43"
"220";"158";"6";"2";"1";"80,00";"27,00";\N;\N
"221";"159";"6";"2";"1";"0,00";\N;\N;\N
"222";"160";"6";"2";"1";"80,00";"24,00";\N;"2023-04-13 14:00:39"
"223";"161";"6";"2";"1";"0,00";"0,00";\N;\N
"226";"163";"6";"2";"1";"80,00";"30,00";\N;\N
"229";"165";"6";"2";"1";"80,00";"30,00";\N;\N
"231";"167";"6";"2";"1";"80,00";"30,00";\N;\N
"232";"166";"6";"2";"1";"0,00";\N;\N;\N
"235";"169";"6";"2";"1";"0,00";\N;\N;\N
"236";"170";"6";"1";"1";"0,00";"0,00";\N;\N
"239";"172";"6";"2";"1";"0,00";"0,00";\N;\N
"240";"173";"6";"1";"1";"0,00";"0,00";\N;\N
"242";"155";"6";"1";"1";"0,00";\N;\N;\N
"243";"175";"6";"2";"1";"0,00";"0,00";\N;\N
"244";"176";"6";"2";"1";"0,00";"0,00";\N;\N
"246";"178";"6";"2";"1";"0,00";\N;\N;\N
"251";"179";"6";"2";"1";"0,00";\N;\N;\N
"254";"184";"6";"2";"1";"80,00";"24,00";\N;\N
"257";"185";"6";"2";"1";"80,00";"24,00";\N;\N
"258";"186";"6";"2";"1";"80,00";"27,00";\N;\N
"259";"186";"7";"2";"1";"59,00";"15,00";\N;\N
